,Clean Ingredients
148,"['egg', 'icing sugar', 'butter', 'baking powder', 'chocolate', 'bicarbonate of soda', 'light brown sugar', 'buttermilk', 'plain flour', 'pretzel', 'wheat', 'milk', 'vegetable oil', 'cocoa powder', 'marshmallow', 'salted butter', 'vanilla extract']"
149,"['raisin', 'mixed dried fruit', 'egg', 'ground almond', 'icing sugar', 'orange', 'butter', 'baking powder', 'sunflower oil', 'currant', 'sugar', 'cherry', 'plain flour', 'lemon', 'mixed spice', 'marzipan', 'vanilla extract']"
150,"['mixed dried fruit', 'egg', 'icing sugar', 'butter', 'sunflower oil', 'sugar', 'dried yeast', 'lemon', 'cinnamon', 'white flour', 'caster sugar', 'whole milk', 'cream cheese']"
151,"['unsalted butter', 'egg', 'baking powder', 'chocolate', 'white chocolate', 'plain flour', 'vanilla bean paste', 'caster sugar', 'muscovado sugar']"
152,"['red wine', 'shortcrust pastry', 'onion', 'carrot', 'sunflower oil', 'steak', 'thyme leaf', 'beef', 'porcini mushroom', 'treacle', 'plain flour', 'chip', 'thyme', 'beef stock', 'pastry', 'caster sugar', 'bay leaf', 'flour']"
153,"['unsalted butter', 'egg', 'dark chocolate', 'double cream', 'caster sugar']"
154,"['butter', 'sugar', 'dried onion', 'ground clove', 'baking potato', 'smoked paprika', 'ground cinnamon', 'carrot', 'honey', 'vegetable oil', 'red wine vinegar', 'chive', 'mustard powder', 'beef brisket', 'cream', 'milk', 'bay leaf', 'red onion', 'bourbon whiskey']"
155,"['ground coriander', 'olive oil', 'sirloin steak', 'butter', 'ground cumin', 'green bean', 'corn', 'parsley', 'cider vinegar', 'dried oregano', 'chilli powder']"
156,"['apricot', 'orange', 'cheese', 'double cream', 'vanilla bean paste', 'honey', 'custard', 'vanilla pod', 'salted butter', 'greek yogurt']"
157,"['garlic clove', 'chestnut mushroom', 'tarragon', 'butter', 'steak', 'sunflower oil', 'double cream', 'chip', 'shallot', 'watercress', 'potato', 'sea salt']"
158,"['cheddar', 'garlic clove', 'butter', 'spinach', 'mozzarella', 'macaroni', 'milk', 'ale']"
159,"['ground coriander', 'garlic clove', 'garam masala', 'naan', 'butter', 'onion', 'steak', 'turmeric', 'sugar', 'double cream', 'cardamom pod', 'coriander', 'beef stock', 'chopped tomato', 'ginger', 'chilli powder']"
160,"['icing sugar', 'ground almond', 'butter', 'ground cinnamon', 'plain flour', 'cream', 'raspberry', 'caster sugar', 'white chocolate chip', 'egg white']"
161,"['egg', 'dark chocolate', 'chocolate', 'toasted pecan', 'ice cream', 'plain flour', 'caster sugar', 'salted butter']"
162,"['maple syrup', 'flour', 'egg', 'butter', 'baking powder', 'milk', 'streaky bacon', 'banana', 'brown sugar']"
163,"['garlic clove', 'potato', 'onion', 'thyme leaf', 'chicken stock', 'caster sugar', 'dried sage', 'dried thyme', 'salt', 'cider vinegar', 'pork shoulder']"
164,"['icing sugar', 'egg', 'orange', 'butter', 'dark chocolate', 'bicarbonate of soda', 'plain flour', 'milk', 'instant coffee', 'caster sugar', 'cocoa powder']"
165,"['unsalted butter', 'egg', 'icing sugar', 'food colouring', 'butter', 'baking powder', 'strawberry jam', 'yogurt', 'milk', 'plain flour', 'fondant', 'grapeseed oil', 'cocoa powder', 'vanilla extract', 'muscovado sugar']"
166,"['egg', 'white cake mix', 'icing sugar', 'ground cinnamon', 'pecan', 'double cream', 'pumpkin pie spice', 'milk', 'ground clove', 'pumpkin', 'vegetable oil', 'ground ginger', 'cream cheese']"
167,"['unsalted butter', 'egg', 'dark chocolate', 'chocolate', 'sugar', 'bicarbonate of soda', 'white chocolate', 'egg white', 'plain flour', 'caster sugar', 'cocoa powder', 'marshmallow', 'vanilla extract']"
168,"['cream cheese', 'egg', 'icing sugar', 'pecan', 'orange', 'ground cinnamon', 'sunflower oil', 'bicarbonate of soda', 'sultana', 'flour', 'butternut squash', 'vanilla extract', 'muscovado sugar']"
169,"['egg', 'butter', 'dark chocolate', 'white chocolate', 'bicarbonate of soda', 'milk', 'cream', 'caster sugar', 'water', 'flour', 'muscovado sugar']"
170,"['egg', 'nutella', 'butter', 'baking powder', 'chocolate chip', 'icing', 'caster sugar', 'flour', 'vanilla extract']"
171,"['egg', 'butter', 'demerara sugar', 'honey', 'pumpkin', 'flour', 'butternut squash', 'ground ginger', 'muscovado sugar']"
172,"['unsalted butter', 'dark chocolate', 'golden syrup', 'cocoa', 'white chocolate', 'rice krispies', 'dried blueberry', 'marshmallow', 'dried cranberry']"
173,"['unsalted butter', 'egg', 'icing sugar', 'baking powder', 'lemon', 'caster sugar', 'granulated sugar', 'flour', 'lemon zest', 'greek yogurt']"
174,"['unsalted butter', 'icing sugar', 'almond', 'white flour', 'green cardamom pod', 'semolina', 'gram flour']"
